Star counts by combination of vote types
 {1: 9813, 2: 10023, 3: 18766, 4: 44494, 5: 51628}
funny {1: 1595, 2: 1164, 3: 1406, 4: 2261, 5: 2802}
useful {1: 7571, 2: 7288, 3: 9037, 4: 18571, 5: 21120}
funnyuseful {1: 2983, 2: 2193, 3: 1678, 4: 2215, 5: 2325}
funnycooluseful {1: 4706, 2: 6228, 3: 10968, 4: 24573, 5: 21791}
cooluseful {1: 1525, 2: 2219, 3: 4386, 4: 13533, 5: 14988}
funnycool {1: 153, 2: 166, 3: 252, 4: 608, 5: 609}
cool {1: 238, 2: 354, 3: 1107, 4: 3559, 5: 4126}

Vote counts by type
funny,cool,useful
244346,218933,155124
51373,64355,88631
17747,23617,41706
8004,10824,20177
4315,5677,10473
2600,3343,5981
1767,2235,3640
1149,1578,2402
866,1106,1702
567,728,1183
476,578,902
346,445,663
273,359,535
220,275,465
170,206,296
140,145,242
128,128,195
75,100,146
64,79,123
66,64,85
48,48,73
41,37,52
35,31,40
32,20,30
25,15,28
24,14,21
20,11,10
13,11,10
12,5,20
12,7,3
12,4,9
8,3,6
4,6,4
7,2,4
4,1,2
6,0,1
5,3,1
1,2,1
5,4,5
1,6,7
1,2,2
2,1,2
2,3,3
0,1,1
0,1,3
1,1,2
0,0,0
2,0,0
0,1,1
0,0,0
1,2,1
0,0,0
1,0,2
0,0,0
1,0,2
1,0,0
2,0,1
0,1,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,3,1
0,0,1
0,0,1
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
